	word	gold	gru pred	earlyBoundary	lateBoundary	missedBoundary	addedBoundary	totalErrors
0	ental	r/1 e/0 n/0 t/0 a/1 l/0	/1 e/0 n/0 T/1 A/0 l/0	1	0	0	0	1
1	polarizing	p/1 o/0 l/1 a/0 r/0 i/1 z/0 i/1 n/0 g/0	p/1 o/0 L/0 A/1 r/0 i/1 z/0 i/1 n/0 g/0	0	1	0	0	1
2	intercity	i/1 n/0 t/1 e/0 r/0 c/1 i/0 t/0 y/1	i/1 n/0 t/1 e/0 r/0 c/1 i/0 T/1 Y/0	1	0	0	0	1
3	endemic	e/1 n/0 d/0 e/0 m/0 i/0 c/0	/1 n/0 D/1 e/0 m/0 I/1 c/0	0	0	0	2	2
4	cine	c/1 i/0 n/0 e/1	c/1 i/0 n/0 E/0	0	0	1	0	1
5	vengeance	v/1 e/0 n/0 g/0 e/0 a/1 n/0 c/0 e/0	v/1 e/0 n/0 G/1 e/0 a/1 n/0 c/0 e/0	0	0	0	1	1
6	epos	e/1 p/0 o/1 s/0	/1 P/1 O/0 s/0	1	0	0	0	1
7	penitentiary	p/1 e/0 n/0 i/1 t/1 e/0 n/0 t/1 i/0 a/0 r/1 y/0	p/1 e/0 n/0 i/1 t/1 e/0 n/0 t/1 i/0 a/0 R/0 Y/1	0	1	0	0	1
8	me	m/1 e/0 o/1 w/0	m/1 e/0 O/0 w/0	0	0	1	0	1
9	paprika	p/1 a/0 p/0 r/1 i/0 k/1 a/0	p/1 a/0 P/1 R/0 i/0 k/1 a/0	1	0	0	0	1
10	androgen	a/1 n/0 d/1 r/0 o/0 g/1 e/0 n/0	a/1 n/0 d/1 r/0 o/0 G/0 E/1 n/0	0	1	0	0	1
11	sauce	s/1 a/0 u/0 c/1 e/0 r/0	s/1 a/0 u/0 C/0 E/1 r/0	0	1	0	0	1
12	gooseneck	g/1 o/0 o/0 s/0 e/0 n/1 e/0 c/0 k/0	g/1 o/0 o/0 s/0 E/1 n/1 e/0 c/0 k/0	0	0	0	1	1
13	stardust	s/1 t/0 a/0 r/0 d/1 u/0 s/0 t/0	s/1 t/0 a/0 r/0 D/0 U/1 s/0 t/0	0	1	0	0	1
14	notwithstanding	n/1 o/0 t/0 w/1 i/0 t/0 h/0 s/1 t/0 a/0 n/0 d/0 i/1 n/0 g/0	n/1 o/0 T/1 W/0 i/0 t/0 h/0 s/1 t/0 a/0 n/0 d/0 i/1 n/0 g/0	1	0	0	0	1
15	fixation	f/1 i/0 x/0 a/1 t/1 i/0 o/0 n/0	f/1 i/0 X/1 a/1 t/1 i/0 o/0 n/0	0	0	0	1	1
16	epetition	r/1 e/0 p/0 e/1 t/1 i/0 t/1 i/0 o/0 n/0	/1 e/0 P/1 E/0 t/1 i/0 t/1 i/0 o/0 n/0	1	0	0	0	1
17	amages	/1 a/0 m/0 a/1 g/0 e/1 s/0	/1 a/0 m/0 a/1 G/1 E/0 s/0	1	0	0	0	1
18	pierce	p/1 i/0 e/0 r/0 c/0 e/0	p/1 i/0 E/1 r/0 c/0 e/0	0	0	0	1	1
19	calende	c/1 a/0 l/0 e/1 n/0 d/1 e/0 r/0	c/1 a/0 l/0 e/1 n/0 D/0 E/1 r/0	0	1	0	0	1
20	bourgeoisie	b/1 o/0 u/0 r/0 g/1 e/0 o/0 i/0 s/1 i/0 e/0	b/1 o/0 u/0 r/0 g/1 e/0 o/0 I/1 s/1 i/0 e/0	0	0	0	1	1
21	cavernous	c/1 a/0 v/0 e/1 r/0 n/0 o/1 u/0 s/0	c/1 a/0 v/0 e/1 r/0 N/1 O/0 u/0 s/0	1	0	0	0	1
22	thanksgiving	t/1 h/0 a/0 n/0 k/0 s/0 g/1 i/0 v/0 i/1 n/0 g/0	t/1 h/0 a/0 n/0 k/0 S/1 G/0 i/0 v/0 i/1 n/0 g/0	1	0	0	0	1
23	halte	h/1 a/0 l/0 t/0 e/1 r/0	h/1 a/0 l/0 T/1 E/0 r/0	1	0	0	0	1
24	maybe	m/1 a/0 y/0 b/1 e/0	m/1 a/0 y/0 B/0 e/0	0	0	1	0	1
25	ctrinal	/1 o/0 c/0 t/1 r/0 i/0 n/1 a/0 l/0	/1 o/0 c/0 t/1 r/0 i/0 N/0 A/1 l/0	0	1	0	0	1
26	banyan	b/1 a/0 n/0 y/1 a/0 n/0	b/1 a/0 n/0 y/1 A/1 n/0	0	0	0	1	1
27	bandits	b/1 a/0 n/0 d/1 i/0 t/0 s/0	b/1 a/0 n/0 D/0 I/1 t/0 s/0	0	1	0	0	1
28	eavesdropping	e/1 a/0 v/0 e/0 s/0 d/1 r/0 o/0 p/0 p/1 i/0 n/0 g/0	/1 a/0 v/0 E/1 s/0 d/1 r/0 o/0 p/0 p/1 i/0 n/0 g/0	0	0	0	1	1
29	inaudible	i/1 n/0 a/1 u/0 d/1 i/0 b/1 l/0 e/0	i/1 n/0 a/1 u/0 D/0 I/1 b/1 l/0 e/0	0	1	0	0	1
30	brigadie	b/1 r/0 i/0 g/0 a/1 d/1 i/0 e/0 r/0	b/1 r/0 i/0 G/1 A/0 d/1 i/0 E/1 r/0	1	0	0	1	2
31	gestalt	g/1 e/0 s/1 t/0 a/0 l/0 t/0	g/1 e/0 S/0 T/1 a/0 l/0 t/0	0	1	0	0	1
32	engende	e/1 n/0 g/1 e/0 n/0 d/1 e/0 r/0	/1 n/0 g/1 e/0 n/0 D/0 E/1 r/0	0	1	0	0	1
33	paleontology	p/1 a/0 l/1 e/0 o/1 n/0 t/1 o/0 l/0 o/1 g/1 y/0	p/1 a/0 L/0 E/1 o/1 n/0 t/1 o/0 l/0 o/1 g/1 y/0	0	1	0	0	1
34	fussy	f/1 u/0 s/0 s/0 y/1	f/1 u/0 s/0 S/1 y/1	0	0	0	1	1
35	linac	/1 i/0 n/0 a/1 c/0	l/1 i/0 N/1 a/1 c/0	0	0	0	1	1
36	china	c/1 h/0 i/0 n/1 a/0	c/1 h/0 i/0 n/1 A/1	0	0	0	1	1
37	thrilling	t/1 h/0 r/0 i/0 l/0 l/0 i/1 n/0 g/0	t/1 h/0 r/0 i/0 l/0 L/1 I/0 n/0 g/0	1	0	0	0	1
38	bullish	b/1 u/0 l/0 l/0 i/1 s/0 h/0	b/1 u/0 l/0 L/1 I/0 s/0 h/0	1	0	0	0	1
39	perturbative	p/1 e/0 r/0 t/1 u/0 r/0 b/1 a/0 t/1 i/0 v/0 e/0	p/1 e/0 r/0 t/1 u/0 r/0 B/0 A/1 t/1 i/0 v/0 e/0	0	1	0	0	1
40	primavera	p/1 r/0 i/0 m/1 a/0 v/1 e/0 r/1 a/0	p/1 r/0 i/0 m/1 a/0 V/0 E/1 R/0 A/1	1	1	0	0	2
41	kaise	k/1 a/0 i/0 s/1 e/0 r/0	k/1 a/0 i/0 S/0 E/1 r/0	0	1	0	0	1
42	metastasis	m/1 e/0 t/1 a/0 s/0 t/1 a/0 s/1 i/0 s/0	m/1 e/0 t/1 A/1 s/0 t/1 a/0 s/1 i/0 s/0	0	0	0	1	1
43	ynamism	/1 y/0 n/1 a/0 m/1 i/0 s/0 m/0	/1 y/0 n/1 a/0 M/0 I/1 s/0 m/0	0	1	0	0	1
44	corticosteroi	c/1 o/0 r/0 t/1 i/0 c/1 o/0 s/1 t/0 e/0 r/0 o/1 i/0 d/0	c/1 o/0 r/0 t/1 i/0 c/1 o/0 S/0 T/1 e/0 r/0 o/1 i/0 d/0	0	1	0	0	1
45	basil	b/1 a/0 s/0 i/1 l/0	b/1 a/0 S/1 I/0 l/0	1	0	0	0	1
46	vintage	v/1 i/0 n/0 t/1 a/0 g/0 e/0	v/1 i/0 n/0 t/1 A/1 g/0 e/0	0	0	0	1	1
47	everyday	e/1 v/0 e/0 r/1 y/0 d/1 a/0 y/0	/1 v/0 E/1 r/1 y/0 d/1 a/0 y/0	0	0	0	1	1
48	ysphagia	/1 y/0 s/0 p/1 h/0 a/0 g/1 i/0 a/0	/1 y/0 s/0 p/1 h/0 a/0 g/1 i/0 A/1	0	0	0	1	1
49	fuselage	f/1 u/0 s/1 e/0 l/1 a/0 g/0 e/0	f/1 u/0 s/1 e/0 L/0 A/1 g/0 e/0	0	1	0	0	1
50	trumpete	t/1 r/0 u/0 m/0 p/1 e/0 t/0 e/1 r/0	t/1 r/0 u/0 m/0 p/1 e/0 T/1 E/0 r/0	1	0	0	0	1
51	finesse	f/1 i/0 n/1 e/0 s/0 s/0 e/0	f/1 i/0 n/1 e/0 s/0 S/1 e/0	0	0	0	1	1
52	landowne	/1 a/0 n/0 d/0 o/1 w/0 n/0 e/1 r/0	l/1 a/0 n/0 D/1 O/0 w/0 n/0 e/1 r/0	1	0	0	0	1
53	eam	r/1 e/0 a/0 m/0	/1 e/0 A/1 m/0	0	0	0	1	1
54	product	p/1 r/0 o/0 d/0 u/1 c/0 t/0	p/1 r/0 o/0 D/1 U/0 c/0 t/0	1	0	0	0	1
55	gosling	g/1 o/0 s/0 l/1 i/0 n/0 g/0	g/1 o/0 s/0 L/0 I/1 n/0 g/0	0	1	0	0	1
56	courtroom	c/1 o/0 u/0 r/0 t/0 r/1 o/0 o/0 m/0	c/1 o/0 u/0 r/0 T/1 R/0 o/0 o/0 m/0	1	0	0	0	1
57	shaman	s/1 h/0 a/0 m/0 a/1 n/0	s/1 h/0 a/0 M/1 a/1 n/0	0	0	0	1	1
58	lawye	/1 a/0 w/0 y/1 e/0 r/0	l/1 a/0 w/0 y/1 E/1 r/0	0	0	0	1	1
59	predecess	p/1 r/0 e/0 d/0 e/1 c/1 e/0 s/0 s/1 o/0 r/0	p/1 r/0 e/0 D/1 E/0 c/1 e/0 s/0 s/1 o/0 r/0	1	0	0	0	1
60	maverick	m/1 a/0 v/0 e/1 r/0 i/1 c/0 k/0	m/1 a/0 v/0 e/1 R/1 I/0 c/0 k/0	1	0	0	0	1
61	elativistic	r/1 e/0 l/0 a/1 t/1 i/0 v/0 i/1 s/0 t/1 i/0 c/0	/1 e/0 L/1 A/0 T/0 I/1 V/1 I/0 s/0 t/1 i/0 c/0	2	1	0	0	3
62	affirmatively	a/1 f/0 f/1 i/0 r/0 m/0 a/1 t/1 i/0 v/0 e/0 l/1 y/0	a/1 f/0 f/1 i/0 r/0 M/1 a/1 t/1 i/0 v/0 e/0 l/1 y/0	0	0	0	1	1
63	newsreade	n/1 e/0 w/0 s/0 r/1 e/0 a/0 d/0 e/1 r/0	n/1 e/0 w/0 S/1 R/0 e/0 a/0 d/0 e/1 r/0	1	0	0	0	1
64	eservoi	r/1 e/0 s/0 e/1 r/0 v/1 o/0 i/0 r/0	/1 e/0 S/1 E/0 r/0 v/1 o/0 i/0 r/0	1	0	0	0	1
65	enginee	e/1 n/0 g/1 i/0 n/1 e/0 e/0 r/0	/1 n/0 g/1 i/0 N/0 E/1 e/0 r/0	0	1	0	0	1
66	amorous	a/1 m/0 o/1 r/1 o/0 u/0 s/0	a/1 M/1 o/1 r/1 O/1 u/0 s/0	0	0	0	2	2
67	ivestiture	/1 i/0 v/1 e/0 s/0 t/0 i/1 t/1 u/0 r/0 e/0	/1 i/0 v/1 e/0 s/0 T/1 I/0 t/1 u/0 r/0 e/0	1	0	0	0	1
68	tyrant	t/1 y/0 r/0 a/0 n/0 t/0	t/1 y/0 R/1 a/0 n/0 t/0	0	0	0	1	1
69	evelope	/1 e/0 v/1 e/0 l/0 o/1 p/0 e/1 r/0	/1 e/0 V/0 E/1 l/0 o/1 p/0 e/1 r/0	0	1	0	0	1
70	caree	c/1 a/0 r/1 e/0 e/0 r/0	c/1 a/0 R/0 e/0 E/1 r/0	0	0	1	0	1
71	proclamation	p/1 r/0 o/0 c/0 l/1 a/0 m/1 a/0 t/1 i/0 o/0 n/0	p/1 r/0 o/0 C/1 L/0 a/0 m/1 a/0 t/1 i/0 o/0 n/0	1	0	0	0	1
72	impala	i/1 m/0 p/1 a/0 l/0 a/1	i/1 m/0 p/1 a/0 L/1 a/1	0	0	0	1	1
73	polygonal	p/1 o/0 l/1 y/0 g/0 o/1 n/1 a/0 l/0	p/1 o/0 L/0 Y/1 G/1 O/0 N/0 A/1 l/0	1	2	0	0	3
74	acetyl	a/1 c/0 e/1 t/1 y/0 l/0	a/1 C/1 E/0 t/1 Y/1 l/0	1	0	0	1	2
75	budgete	b/1 u/0 d/0 g/0 e/1 t/0 e/1 d/0	b/1 u/0 d/0 G/1 E/0 t/0 e/1 d/0	1	0	0	0	1
76	synonymous	s/1 y/0 n/0 o/1 n/0 y/1 m/1 o/0 u/0 s/0	s/1 y/0 N/1 O/0 n/0 y/1 m/1 o/0 u/0 s/0	1	0	0	0	1
77	yez	/1 y/1 e/0 z/0	o/1 Y/0 e/0 z/0	1	0	0	0	1
78	cylinde	c/1 y/0 l/0 i/1 n/0 d/1 e/0 r/0	c/1 y/0 L/1 I/0 n/0 d/1 E/1 r/0	1	0	0	1	2
79	guanine	g/1 u/0 a/0 n/1 i/0 n/0 e/0	g/1 u/0 a/0 n/1 I/1 n/0 e/0	0	0	0	1	1
80	chevalie	c/1 h/0 e/0 v/0 a/1 l/1 i/0 e/0 r/0	c/1 h/0 e/0 v/0 a/1 l/1 i/0 E/1 r/0	0	0	0	1	1
81	carte	c/1 a/0 r/0 t/0 e/0	c/1 a/0 r/0 T/1 e/0	0	0	0	1	1
82	corolla	c/1 o/0 r/1 o/0 l/0 l/1 a/0	c/1 o/0 R/0 O/1 l/0 l/1 a/0	0	1	0	0	1
83	buffe	b/1 u/0 f/0 f/0 e/1 r/0	b/1 u/0 f/0 F/1 E/0 r/0	1	0	0	0	1
84	newslette	n/1 e/0 w/0 s/0 l/1 e/0 t/0 t/1 e/0 r/0	n/1 e/0 w/0 S/1 L/0 e/0 t/0 t/1 e/0 r/0	1	0	0	0	1
85	itchy	i/1 t/0 c/0 h/0 y/1	i/1 t/0 C/1 h/0 Y/0	0	0	1	0	1
86	psychic	p/1 s/0 y/0 c/1 h/0 i/0 c/0	p/1 s/0 y/0 C/0 h/0 I/1 c/0	0	0	1	0	1
87	ep	e/1 p/1	/1 P/0	1	0	0	0	1
88	phosphorylate	p/1 h/0 o/0 s/0 p/1 h/0 o/0 r/1 y/0 l/0 a/1 t/0 e/1 d/0	p/1 h/0 o/0 s/0 p/1 h/0 o/0 r/1 Y/1 L/1 a/1 t/0 e/1 d/0	0	0	0	2	2
89	cashie	c/1 a/0 s/0 h/0 i/1 e/0 r/0	c/1 a/0 s/0 h/0 i/1 E/1 r/0	0	0	0	1	1
90	mille	m/1 i/0 l/0 l/1 e/0 r/0	m/1 i/0 l/0 L/0 E/1 r/0	0	1	0	0	1
91	parapsychology	p/1 a/0 r/0 a/1 p/1 s/0 y/0 c/1 h/0 o/0 l/0 o/1 g/1 y/0	p/1 a/0 r/0 a/1 P/0 S/1 y/0 c/1 h/0 o/0 l/0 o/1 g/1 y/0	1	0	0	0	1
92	pian	p/1 i/0 a/0 n/1 o/0	p/1 i/0 A/1 n/1 O/1	0	0	0	2	2
93	noma	n/1 o/0 m/1 a/0 d/0	n/1 o/0 M/0 A/1 d/0	0	1	0	0	1
94	noticing	n/1 o/0 t/1 i/0 c/0 i/1 n/0 g/0	n/1 o/0 t/1 I/1 c/0 i/1 n/0 g/0	0	0	0	1	1
95	nanomete	n/1 a/0 n/1 o/0 m/1 e/0 t/1 e/0 r/0	n/1 a/0 n/1 o/0 M/0 E/1 t/1 e/0 r/0	0	1	0	0	1
96	bandwagon	b/1 a/0 n/0 d/0 w/1 a/0 g/0 o/1 n/0	b/1 a/0 n/0 d/0 w/1 a/0 G/1 O/0 n/0	1	0	0	0	1
97	imagines	i/1 m/1 a/0 g/1 i/0 n/1 e/0 s/0	i/1 M/0 A/1 G/0 I/1 n/1 e/0 s/0	2	0	0	0	2
98	jesse	j/1 e/0 s/0 s/0 e/0	j/1 e/0 s/0 S/1 e/0	0	0	0	1	1
99	sharia	s/1 h/0 a/0 r/1 i/0 a/1	s/1 h/0 a/0 R/0 I/1 a/1	0	1	0	0	1
100	fulfilling	f/1 u/0 l/0 f/1 i/0 l/0 l/1 i/0 n/0 g/0	f/1 u/0 l/0 f/1 i/0 l/0 L/0 I/1 n/0 g/0	0	1	0	0	1
101	coincide	c/1 o/0 i/1 n/0 c/1 i/0 d/0 e/0	c/1 o/0 I/0 n/0 c/1 i/0 d/0 e/0	0	0	1	0	1
102	histamine	h/1 i/0 s/0 t/1 a/0 m/1 i/0 n/0 e/0	h/1 i/0 s/0 t/1 a/0 M/0 I/1 n/0 e/0	0	1	0	0	1
103	ende	r/1 e/0 n/0 d/0 e/1 r/0	/1 e/0 n/0 D/1 E/0 r/0	1	0	0	0	1
104	promising	p/1 r/0 o/0 m/0 i/1 s/0 i/1 n/0 g/0	p/1 r/0 o/0 M/1 i/1 s/0 i/1 n/0 g/0	0	0	0	1	1
105	bureaucratic	b/1 u/0 r/1 e/0 a/0 u/0 c/1 r/0 a/0 t/0 i/1 c/0	b/1 u/0 r/1 e/0 A/1 U/1 c/1 r/0 a/0 t/0 i/1 c/0	0	0	0	2	2
106	bigotry	b/1 i/0 g/0 o/1 t/0 r/1 y/0	b/1 i/0 g/0 o/1 T/1 R/0 y/0	1	0	0	0	1
107	stanhope	s/1 t/0 a/0 n/0 h/1 o/0 p/0 e/0	s/1 t/0 a/0 n/0 H/0 o/0 p/0 e/0	0	0	1	0	1
108	ughty	/1 o/0 u/0 g/0 h/0 t/1 y/0	/1 o/0 u/0 g/0 h/0 T/0 Y/1	0	1	0	0	1
109	adept	a/1 d/0 e/1 p/0 t/0	a/1 D/1 E/0 p/0 t/0	1	0	0	0	1
110	favorite	f/1 a/0 v/1 o/0 r/0 i/1 t/0 e/0	f/1 a/0 v/1 o/0 R/1 I/0 t/0 e/0	1	0	0	0	1
