	word	gold	gru pred	earlyBoundary	lateBoundary	missedBoundary	addedBoundary	totalErrors
111	adage	a/1 d/0 a/1 g/0 e/0	a/1 d/0 A/0 g/0 e/0	0	0	1	0	1
112	acyl	a/1 c/0 y/1 l/0	a/1 C/1 y/1 l/0	0	0	0	1	1
113	turtleneck	t/1 u/0 r/0 t/1 l/0 e/0 n/1 e/0 c/0 k/0	t/1 u/0 r/0 T/0 L/1 e/0 n/1 e/0 c/0 k/0	0	1	0	0	1
114	y	/1 o/0 w/0 r/1 y/0	/1 o/0 w/0 R/0 Y/1	0	1	0	0	1
115	erasure	e/1 r/1 a/0 s/0 u/1 r/0 e/0	/1 r/1 a/0 S/1 U/0 r/0 e/0	1	0	0	0	1
116	peavey	p/1 e/0 a/0 v/1 e/0 y/0	p/1 e/0 a/0 V/0 E/1 y/0	0	1	0	0	1
117	jordan	j/1 o/0 r/0 d/1 a/0 n/0	j/1 o/0 r/0 d/1 A/1 n/0	0	0	0	1	1
118	finitely	f/1 i/0 n/1 i/0 t/0 e/0 l/1 y/0	f/1 i/0 N/0 I/1 t/0 e/0 l/1 y/0	0	1	0	0	1
119	savant	s/1 a/0 v/1 a/0 n/0 t/0	s/1 a/0 V/0 A/1 n/0 t/0	0	1	0	0	1
120	mata	m/1 a/0 t/0 a/1 d/1 o/0 r/0	m/1 a/0 T/1 A/0 d/1 o/0 r/0	1	0	0	0	1
121	madu	m/1 a/0 d/1 u/0 r/1 o/0	m/1 a/0 D/0 U/1 r/1 o/0	0	1	0	0	1
122	andy	r/1 a/0 n/0 d/0 y/1	/1 a/0 n/0 D/1 y/1	0	0	0	1	1
123	ente	r/1 e/0 n/0 t/0 e/1 r/0	/1 e/0 n/0 T/1 E/0 r/0	1	0	0	0	1
124	promissory	p/1 r/0 o/0 m/0 i/1 s/0 s/1 o/0 r/1 y/0	p/1 r/0 o/0 m/0 I/0 s/0 s/1 o/0 r/1 y/0	0	0	1	0	1
125	ublet	/1 o/0 u/0 b/1 l/0 e/0 t/0	/1 o/0 u/0 B/0 L/1 e/0 t/0	0	1	0	0	1
126	messy	m/1 e/0 s/0 s/0 y/1	m/1 e/0 s/0 S/1 y/1	0	0	0	1	1
127	bailey	b/1 a/0 i/0 l/1 e/0 y/0	b/1 a/0 i/0 L/0 E/1 y/0	0	1	0	0	1
128	auxiliary	a/1 u/0 x/0 i/1 l/0 i/1 a/0 r/1 y/0	a/1 u/0 x/0 i/1 l/0 i/1 A/1 R/0 Y/1	1	0	0	1	2
129	zealot	z/1 e/0 a/0 l/0 o/1 t/0	z/1 e/0 a/0 L/1 o/1 t/0	0	0	0	1	1
130	preparatory	p/1 r/0 e/0 p/1 a/0 r/0 a/1 t/1 o/0 r/1 y/0	p/1 r/0 e/0 P/0 A/1 R/1 A/0 t/1 o/0 r/1 y/0	1	1	0	0	2
131	lanai	/1 a/0 n/1 a/0 i/1	l/1 a/0 n/1 a/0 I/0	0	0	1	0	1
132	copilot	c/1 o/0 p/1 i/0 l/1 o/0 t/0	c/1 o/0 p/1 I/1 l/1 o/0 t/0	0	0	0	1	1
133	palazz	p/1 a/0 l/1 a/0 z/0 z/1 o/0	p/1 a/0 L/0 A/1 z/0 z/1 o/0	0	1	0	0	1
134	ab	a/1 b/0 r/0	a/1 B/1 r/0	0	0	0	1	1
135	prairie	p/1 r/0 a/0 i/0 r/1 i/0 e/0	p/1 r/0 a/0 i/0 R/0 I/1 e/0	0	1	0	0	1
136	preposterous	p/1 r/0 e/0 p/1 o/0 s/0 t/1 e/0 r/0 o/1 u/0 s/0	p/1 r/0 e/0 p/1 o/0 s/0 t/1 E/1 r/0 o/1 u/0 s/0	0	0	0	1	1
137	maranatha	m/1 a/0 r/0 a/1 n/1 a/0 t/0 h/0 a/1	m/1 a/0 R/1 A/0 n/1 a/0 T/1 h/0 A/0	1	0	1	0	2
138	photocopie	p/1 h/0 o/0 t/1 o/0 c/1 o/0 p/0 i/1 e/1 r/0	p/1 h/0 o/0 t/1 o/0 c/1 o/0 P/1 i/1 e/1 r/0	0	0	0	1	1
139	gazeb	g/1 a/0 z/1 e/0 b/1 o/0	g/1 a/0 Z/0 e/0 b/1 o/0	0	0	1	0	1
140	seldom	s/1 e/0 l/0 d/1 o/0 m/0	s/1 e/0 l/0 D/0 O/1 m/0	0	1	0	0	1
141	snorkel	s/1 n/0 o/0 r/0 k/1 e/0 l/0	s/1 n/0 o/0 r/0 K/0 E/1 l/0	0	1	0	0	1
142	eportation	/1 e/0 p/1 o/0 r/0 t/1 a/0 t/1 i/0 o/0 n/0	/1 e/0 P/0 O/1 r/0 t/1 a/0 t/1 i/0 o/0 n/0	0	1	0	0	1
143	gubernatorial	g/1 u/0 b/1 e/0 r/0 n/1 a/0 t/1 o/0 r/1 i/0 a/1 l/0	g/1 u/0 B/0 E/1 r/0 n/1 A/1 t/1 o/0 r/1 i/0 a/1 l/0	0	1	0	1	2
144	frontie	f/1 r/0 o/0 n/0 t/1 i/0 e/0 r/0	f/1 r/0 o/0 n/0 t/1 i/0 E/1 r/0	0	0	0	1	1
145	sugary	s/1 u/0 g/0 a/1 r/0 y/1	s/1 u/0 g/0 a/1 R/1 Y/0	1	0	0	0	1
146	homogenous	h/1 o/0 m/1 o/0 g/0 e/1 n/1 o/0 u/0 s/0	h/1 o/0 m/1 o/0 G/1 E/0 n/1 o/0 u/0 s/0	1	0	0	0	1
147	autism	a/1 u/0 t/1 i/0 s/0 m/0	a/1 u/0 T/0 I/1 s/0 m/0	0	1	0	0	1
148	semis	s/1 e/0 m/1 i/0 s/0	s/1 e/0 M/0 I/1 s/0	0	1	0	0	1
149	livet	/1 l/0 i/1 v/1 e/0 t/0	o/1 L/1 I/0 v/1 e/0 t/0	1	0	0	0	1
150	alert	a/1 l/1 e/0 r/0 t/0	a/1 L/0 E/1 r/0 t/0	1	0	0	0	1
151	thodoxy	/1 r/0 t/1 h/0 o/0 d/1 o/0 x/0 y/1	o/1 r/0 t/1 h/0 o/0 D/0 O/1 x/0 y/1	0	1	0	0	1
152	acidosis	a/1 c/0 i/1 d/1 o/0 s/1 i/0 s/0	a/1 C/1 I/0 D/0 O/1 s/1 i/0 s/0	1	1	0	0	2
153	attlesnake	r/1 a/0 t/0 t/1 l/0 e/0 s/1 n/0 a/0 k/0 e/0	/1 a/0 t/0 t/1 l/0 e/0 S/0 N/1 a/0 k/0 e/0	0	1	0	0	1
154	boson	b/1 o/0 s/0 o/1 n/0	b/1 o/0 S/1 O/0 n/0	1	0	0	0	1
155	seascape	s/1 e/0 a/0 s/1 c/0 a/0 p/0 e/0	s/1 e/0 a/0 S/0 C/1 a/0 p/0 e/0	0	1	0	0	1
156	hadith	h/1 a/0 d/1 i/0 t/0 h/0	h/1 a/0 D/0 I/1 t/0 h/0	0	1	0	0	1
157	bookselle	b/1 o/0 o/0 k/0 s/1 e/0 l/0 l/1 e/0 r/0	b/1 o/0 o/0 k/0 s/1 e/0 l/0 L/0 E/1 r/0	0	1	0	0	1
158	hyperbole	h/1 y/0 p/1 e/0 r/0 b/1 o/0 l/1 e/0	h/1 y/0 p/1 e/0 r/0 b/1 o/0 L/0 e/0	0	0	1	0	1
159	hypocrite	h/1 y/0 p/0 o/1 c/1 r/0 i/0 t/0 e/0	h/1 y/0 P/1 o/1 c/1 r/0 i/0 t/0 e/0	0	0	0	1	1
160	quiescent	q/1 u/0 i/0 e/1 s/0 c/1 e/0 n/0 t/0	q/1 u/0 i/0 E/0 s/0 c/1 e/0 n/0 t/0	0	0	1	0	1
161	emit	r/1 e/0 m/1 i/0 t/0	/1 e/0 M/0 I/1 t/0	0	1	0	0	1
162	gossame	g/1 o/0 s/0 s/1 a/0 m/1 e/0 r/0	g/1 o/0 s/0 s/1 a/0 m/1 E/1 r/0	0	0	0	1	1
163	scenic	s/1 c/0 e/0 n/1 i/0 c/0	s/1 c/0 e/0 N/0 I/1 c/0	0	1	0	0	1
164	espionage	e/1 s/0 p/1 i/0 o/1 n/1 a/0 g/0 e/0	/1 s/0 p/1 i/0 o/1 N/0 A/1 g/0 e/0	1	0	0	0	1
165	arisen	a/1 r/1 i/0 s/0 e/1 n/0	a/1 R/0 I/1 S/1 E/0 n/0	2	0	0	0	2
166	esu	e/1 s/0 u/0	/1 S/1 u/0	0	0	0	1	1
167	budget	b/1 u/0 d/0 g/0 e/1 t/0	b/1 u/0 d/0 G/1 E/0 t/0	1	0	0	0	1
168	elev	e/1 l/0 e/0 v/0	/1 L/1 e/0 v/0	0	0	0	1	1
169	juxtaposition	j/1 u/0 x/0 t/1 a/0 p/1 o/0 s/1 i/0 t/1 i/0 o/0 n/0	j/1 u/0 x/0 t/1 a/0 P/0 O/1 s/1 i/0 t/1 i/0 o/0 n/0	0	1	0	0	1
170	savi	s/1 a/0 v/0 i/1 o/0 r/0	s/1 a/0 V/1 I/0 o/0 r/0	1	0	0	0	1
171	interrogatories	i/1 n/0 t/1 e/0 r/0 r/1 o/0 g/0 a/1 t/1 o/0 r/1 i/0 e/0 s/0	i/1 n/0 t/1 e/0 r/0 r/1 o/0 G/1 A/0 t/1 o/0 r/1 i/0 e/0 s/0	1	0	0	0	1
172	foste	f/1 o/0 s/0 t/1 e/0 r/0	f/1 o/0 s/0 T/0 E/1 r/0	0	1	0	0	1
173	scriptural	s/1 c/0 r/0 i/0 p/0 t/1 u/0 r/0 a/1 l/0	s/1 c/0 r/0 i/0 p/0 t/1 u/0 R/1 a/1 l/0	0	0	0	1	1
174	anticoagulant	a/1 n/0 t/1 i/0 c/1 o/0 a/1 g/0 u/1 l/1 a/0 n/0 t/0	a/1 n/0 t/1 i/0 c/1 o/0 A/0 g/0 u/1 l/1 a/0 n/0 t/0	0	0	1	0	1
175	beyon	b/1 e/0 y/1 o/0 n/0 d/0	b/1 e/0 Y/0 O/1 n/0 d/0	0	1	0	0	1
176	missy	m/1 i/0 s/0 s/0 y/1	m/1 i/0 s/0 S/1 Y/0	1	0	0	0	1
177	a	a/1 r/1	a/1 R/0	1	0	0	0	1
178	cliche	c/1 l/0 i/0 c/1 h/0 e/0	c/1 l/0 i/0 C/0 h/0 e/0	0	0	1	0	1
179	comedian	c/1 o/0 m/1 e/0 d/1 i/0 a/1 n/0	c/1 o/0 M/0 e/0 d/1 i/0 a/1 n/0	0	0	1	0	1
180	maximize	m/1 a/0 x/0 i/1 m/1 i/0 z/0 e/0 d/0	m/1 a/0 x/0 i/1 M/0 I/1 z/0 e/0 d/0	1	0	0	0	1
181	thievery	t/1 h/0 i/0 e/0 v/0 e/1 r/0 y/1	t/1 h/0 i/0 E/1 v/0 e/1 r/0 y/1	0	0	0	1	1
182	nion	/1 n/0 i/1 o/0 n/0	o/1 n/0 i/1 O/1 n/0	0	0	0	1	1
183	booby	b/1 o/0 o/0 b/1 y/0	b/1 o/0 o/0 b/1 Y/1	0	0	0	1	1
184	myelin	m/1 y/0 e/1 l/1 i/0 n/0	m/1 y/0 E/0 l/1 i/0 n/0	0	1	0	0	1
185	fathe	f/1 a/0 t/1 h/0 e/0 r/0	f/1 a/0 T/0 h/0 E/1 r/0	0	0	1	0	1
186	mythological	m/1 y/0 t/0 h/0 o/1 l/1 o/0 g/0 i/1 c/1 a/0 l/0	m/1 y/0 T/1 h/0 O/0 l/1 o/0 g/0 i/1 c/1 a/0 l/0	0	1	0	0	1
187	cabriolet	c/1 a/0 b/0 r/1 i/0 o/1 l/1 e/0 t/0	c/1 a/0 B/1 R/0 i/0 o/1 l/1 e/0 t/0	1	0	0	0	1
188	girly	g/1 i/0 r/0 l/0 y/1	g/1 i/0 r/0 L/1 y/1	0	0	0	1	1
189	coinsurance	c/1 o/0 i/1 n/0 s/1 u/0 r/0 a/1 n/0 c/0 e/0	c/1 o/0 I/0 n/0 s/1 u/0 R/1 a/1 n/0 c/0 e/0	0	0	1	0	1
190	varie	v/1 a/0 r/0 i/1 e/0 d/0	v/1 a/0 R/1 i/1 e/0 d/0	0	0	0	1	1
191	syrup	s/1 y/0 r/0 u/1 p/0	s/1 y/0 R/1 U/0 p/0	1	0	0	0	1
192	crescen	c/1 r/0 e/0 s/1 c/0 e/0 n/0 d/1 o/0	c/1 r/0 e/0 S/0 C/1 e/0 n/0 d/1 o/0	0	1	0	0	1
193	injustice	i/1 n/0 j/1 u/0 s/0 t/1 i/0 c/0 e/0	i/1 n/0 j/1 u/0 S/1 T/0 i/0 c/0 e/0	1	0	0	0	1
194	militarism	m/1 i/0 l/0 i/1 t/1 a/0 r/1 i/0 s/0 m/0	m/1 i/0 l/0 i/1 t/1 a/0 R/0 I/1 s/0 m/0	0	1	0	0	1
195	alles	/1 a/0 l/0 l/0 e/0 s/0	/1 a/0 l/0 L/1 e/0 s/0	0	0	0	1	1
196	ephedrine	e/1 p/1 h/0 e/0 d/0 r/1 i/0 n/0 e/0	/1 P/0 h/0 E/1 d/0 r/1 i/0 n/0 e/0	1	0	0	0	1
197	coincidental	c/1 o/0 i/1 n/0 c/1 i/0 d/1 e/0 n/0 t/1 a/0 l/0	c/1 o/0 I/0 n/0 c/1 i/0 d/1 e/0 n/0 t/1 a/0 l/0	0	0	1	0	1
198	analyze	a/1 n/0 a/1 l/1 y/0 z/0 e/1 r/0	a/1 n/0 a/1 l/1 y/0 Z/1 E/0 r/0	1	0	0	0	1
199	timothy	t/1 i/0 m/0 o/1 t/1 h/0 y/0	t/1 i/0 m/0 o/1 t/1 h/0 Y/1	0	0	0	1	1
200	bonanza	b/1 o/0 n/1 a/0 n/0 z/1 a/0	b/1 o/0 N/0 A/1 n/0 z/1 a/0	0	1	0	0	1
201	macadamia	m/1 a/0 c/0 a/1 d/1 a/0 m/1 i/0 a/1	m/1 a/0 c/0 a/1 d/1 a/0 M/0 I/1 a/1	0	1	0	0	1
202	avion	a/1 v/1 i/0 o/0 n/0	a/1 V/0 I/1 o/0 n/0	1	0	0	0	1
203	hedonism	h/1 e/0 d/1 o/0 n/0 i/1 s/0 m/0	h/1 e/0 D/0 O/1 n/0 i/1 s/0 m/0	0	1	0	0	1
204	brazen	b/1 r/0 a/0 z/1 e/0 n/0	b/1 r/0 a/0 Z/0 E/1 n/0	0	1	0	0	1
205	nuances	n/1 u/0 a/1 n/0 c/0 e/1 s/0	n/1 u/0 a/1 n/0 C/1 E/0 s/0	1	0	0	0	1
206	advantage	a/1 d/0 v/1 a/0 n/0 t/1 a/0 g/0 e/0	a/1 d/0 v/1 a/0 n/0 T/0 A/1 g/0 e/0	0	1	0	0	1
207	budgetary	b/1 u/0 d/0 g/0 e/1 t/0 a/1 r/0 y/1	b/1 u/0 d/0 G/1 E/0 T/1 A/0 r/0 y/1	2	0	0	0	2
208	copolyme	c/1 o/0 p/1 o/0 l/0 y/1 m/1 e/0 r/0	c/1 o/0 P/0 O/1 L/1 Y/0 m/1 e/0 r/0	1	1	0	0	2
209	inette	/1 i/0 n/1 e/0 t/0 t/0 e/0	/1 i/0 n/1 E/1 t/0 t/0 e/0	0	0	0	1	1
210	lling	r/1 o/0 l/0 l/0 i/1 n/0 g/0	/1 o/0 l/0 L/1 I/0 n/0 g/0	1	0	0	0	1
211	equiem	r/1 e/0 q/0 u/1 i/0 e/1 m/0	/1 e/0 Q/1 U/0 i/0 e/1 m/0	1	0	0	0	1
212	abrupt	a/1 b/0 r/1 u/0 p/0 t/0	a/1 B/1 R/0 u/0 p/0 t/0	1	0	0	0	1
213	ecommen	r/1 e/0 c/0 o/1 m/0 m/1 e/0 n/0 d/0	/1 e/0 C/1 O/0 m/0 m/1 e/0 n/0 d/0	1	0	0	0	1
214	ifficulties	/1 i/0 f/0 f/0 i/0 c/0 u/0 l/0 t/1 i/0 e/0 s/0	/1 i/0 f/0 F/1 i/0 C/1 u/0 l/0 t/1 i/0 e/0 s/0	0	0	0	2	2
215	ingenious	i/1 n/0 g/1 e/0 n/0 i/1 o/0 u/0 s/0	i/1 n/0 g/1 e/0 N/1 I/0 o/0 u/0 s/0	1	0	0	0	1
216	hazelnut	h/1 a/0 z/1 e/0 l/0 n/1 u/0 t/0	h/1 a/0 Z/0 E/1 l/0 n/1 u/0 t/0	0	1	0	0	1
217	clove	c/1 l/0 o/0 v/1 e/0 r/0	c/1 l/0 o/0 V/0 E/1 r/0	0	1	0	0	1
218	jell	j/1 e/0 l/0 l/0 o/1	j/1 e/0 l/0 L/1 O/0	1	0	0	0	1
219	covers	c/1 o/0 v/1 e/0 r/0 s/0	c/1 o/0 V/0 E/1 r/0 s/0	0	1	0	0	1
220	assistive	a/1 s/0 s/1 i/0 s/0 t/0 i/1 v/0 e/0	a/1 s/0 s/1 i/0 s/0 T/1 I/0 v/0 e/0	1	0	0	0	1
221	piecemeal	p/1 i/0 e/0 c/0 e/0 m/1 e/0 a/0 l/0	p/1 i/0 e/0 c/0 e/0 m/1 e/0 A/1 l/0	0	0	0	1	1
222	panache	p/1 a/0 n/1 a/0 c/0 h/0 e/0	p/1 a/0 N/0 A/1 c/0 h/0 e/0	0	1	0	0	1
223	lullaby	/1 u/0 l/0 l/0 a/1 b/1 y/0	l/1 u/0 l/0 L/1 A/0 b/1 y/0	1	0	0	0	1
224	efurbish	r/1 e/0 f/1 u/0 r/0 b/1 i/0 s/0 h/0	/1 e/0 f/1 U/1 r/0 b/1 i/0 s/0 h/0	0	0	0	1	1
225	ka	k/1 a/0 r/1 o/0 o/0	k/1 a/0 r/1 o/0 O/1	0	0	0	1	1
226	peculia	p/1 e/0 c/1 u/0 l/1 i/0 a/0 r/0	p/1 e/0 c/1 u/0 l/1 i/0 A/1 r/0	0	0	0	1	1
227	cloiste	c/1 l/0 o/0 i/0 s/0 t/1 e/0 r/0	c/1 l/0 o/0 i/0 s/0 T/0 E/1 r/0	0	1	0	0	1
